
Team: Winner		Date: Date		 Winning QB: QB  Winner		 Winning Coach: Coach Winner		 MVP		Points: Winning Pts vs Losing Pts
Team: New York Giants		Date: 3-Feb-08		 Winning QB: Eli Manning		 Winning Coach: Tom Coughlin		 Eli Manning		Points: 17 vs 14

Team: Pittsburgh Steelers		Date: 1-Feb-09		 Winning QB: Ben Roethlisberger		 Winning Coach: Mike Tomlin		 Santonio Holmes		Points: 27 vs 23

Team: New Orleans Saints		Date: 7-Feb-10		 Winning QB: Drew Brees		 Winning Coach: Sean Payton		 Drew Brees		Points: 31 vs 17

Team: Green Bay Packers		Date: 6-Feb-11		 Winning QB: Aaron Rodgers		 Winning Coach: Mike McCarthy		 Aaron Rodgers		Points: 31 vs 25

Team: New York Giants		Date: 5-Feb-12		 Winning QB: Eli Manning		 Winning Coach: Tom Coughlin		 Eli Manning		Points: 21 vs 17

Team: Baltimore Ravens		Date: 3-Feb-13		 Winning QB: Joe Flacco		 Winning Coach: John Harbaugh		 Joe Flacco		Points: 34 vs 31

Team: Seattle Seahawks		Date: 2-Feb-14		 Winning QB: Russell Wilson		 Winning Coach: Pete Carroll		 Malcolm Smith		Points: 43 vs 8

Team: New England Patriots		Date: 1-Feb-15		 Winning QB: Tom Brady		 Winning Coach: Bill Belichick		 Tom Brady		Points: 28 vs 24

Team: Denver Broncos		Date: 7-Feb-16		 Winning QB: Peyton Manning		 Winning Coach: Gary Kubiak		 Von Miller		Points: 24 vs 10

Team: New England Patriots		Date: 5-Feb-17		 Winning QB: Tom Brady		 Winning Coach: Bill Belichick		 Tom Brady		Points: 34 vs 28
